Pl.;Spieler;G;MIN;PTS;2PM;2PA;2P %;3PM;3PA;3P %;FGM;FGA;FG %;FTM;FTA;FT %;DREB;OREB;TREB;AST;STL;TOV;BLK;PF;FD;EF;+/-
;Team;;;;;;;;;;;;;;;;;;;;;;;;;;
3;MOBLEY M. (SG);21;644:30:00;405;62;128;48.4%;59;145;40.7%;121;273;44.3%;104;120;86.7%;87;13;100;70;26;61;2;41;97;374;8
;FRAPORT SKYLINERS;;;;;;;;;;;;;;;;;;;;;;;;;;
1;MICHALAK M. (SG);19;571:01:00;391;56;110;50.9%;62;147;42.2%;118;257;45.9%;93;117;79.5%;65;13;78;56;12;51;1;27;80;324;-21
;SYNTAINICS MBC;;;;;;;;;;;;;;;;;;;;;;;;;;
4;BELL-HAYNES T. (PG);21;602:56:00;376;82;159;51.6%;26;66;39.4%;108;225;48.0%;134;152;88.2%;60;19;79;163;26;69;2;67;127;442;121
;HAKRO Merlins Crailsheim;;;;;;;;;;;;;;;;;;;;;;;;;;
5;SMITH J. (PG);21;717:33:00;370;83;146;56.8%;46;133;34.6%;129;279;46.2%;66;72;91.7%;101;33;134;112;36;36;7;48;81;467;234
;MHP RIESEN Ludwigsburg;;;;;;;;;;;;;;;;;;;;;;;;;;
8;PAULDING R. (SF);22;566:46:00;339;87;140;62.1%;37;100;37.0%;124;240;51.7%;54;65;83.1%;42;13;55;28;20;19;4;39;58;300;126
;EWE Baskets Oldenburg;;;;;;;;;;;;;;;;;;;;;;;;;;
7;BABB C. (SG);20;628:25:00;324;47;81;58.0%;60;169;35.5%;107;250;42.8%;50;57;87.7%;40;10;50;57;22;21;2;36;78;284;-3
;Telekom Baskets Bonn;;;;;;;;;;;;;;;;;;;;;;;;;;
9;ODIASE T. (C);21;619:32:00;320;131;211;62.1%;0;0;0.0%;131;211;62.1%;58;93;62.4%;88;48;136;7;7;38;32;43;70;349;-102
;BG Göttingen;;;;;;;;;;;;;;;;;;;;;;;;;;
10;HORNSBY K. (SG);21;427:11:00;312;44;83;53.0%;53;101;52.5%;97;184;52.7%;65;70;92.9%;47;8;55;20;9;14;0;32;49;290;148
;EWE Baskets Oldenburg;;;;;;;;;;;;;;;;;;;;;;;;;;
20;OLISEVICIUS O. (PF);22;532:50:00;310;85;134;63.4%;28;71;39.4%;113;205;55.1%;56;70;80.0%;54;16;70;38;16;33;4;43;51;299;-48
;medi bayreuth;;;;;;;;;;;;;;;;;;;;;;;;;;
11;HALL D. (SG);21;600:51:00;309;58;100;58.0%;46;114;40.4%;104;214;48.6%;55;68;80.9%;77;18;95;83;19;57;9;32;79;335;112
;Brose Bamberg;;;;;;;;;;;;;;;;;;;;;;;;;;
6;JALLOW K. (SF);19;581:29:00;308;90;148;60.8%;18;63;28.6%;108;211;51.2%;74;98;75.5%;68;34;102;40;17;49;3;51;79;294;-70
;Basketball Löwen Braunschweig;;;;;;;;;;;;;;;;;;;;;;;;;;
