Pl.;player;G;MIN;+/-;total
62;ROBERTSON Q. (SG);34;1183:24:00;-14;469.00
6;WARREN C. (PG);34;1111:53:00;-172;589.00
13;THOMAS B. (SF);33;1091:29:00;-114;480.00
3;LANSDOWNE D. (PG);32;1065:41:00;85;535.00
26;PAULDING R. (SF);34;1050:16:00;351;479.00
15;BRAY T. (SG);33;1034:35:00;179;609.00
32;TURNER E. (SG);32;1011:24:00;-199;380.00
7;STOCKTON M. (PG);33;990:23:00;-140;580.00
8;HOLLINS A. (SG);33;979:47:00;154;467.00
61;CRAWFORD J. (PG);31;969:47:00;11;401.00
59;GORDON L. (SF);34;965:11:00;-95;475.00
14;EVANS D. (PF);33;929:16:00;172;610.00
35;TURNER F. (PG);33;928:33:00;-264;466.00
60;WELLS C. (PG);34;925:10:00;-72;435.00
78;JOYCE D. (PG);33;924:52:00;-259;385.00
11;RICE T. (PG);33;922:50:00;92;486.00
21;MAHALBASIC R. (C);34;921:20:00;296;758.00
20;MADGEN B. (SG);32;912:35:00;-146;400.00
66;SENGFELDER C. (PF);34;911:59:00;11;441.00
1;CUMMINGS W. (PG);31;908:04:00;320;618.00
38;BROOKS D. (PF);34;903:42:00;-16;468.00
22;GREEN J. (SG);33;902:11:00;170;552.00
2;BRYANT J. (C);30;896:16:00;-55;770.00
37;ROBERTSON K. (SG);34;889:25:00;-123;367.00
48;NOVAK J. (PG);30;887:40:00;-88;452.00
29;HINRICHS S. (PF);32;885:35:00;180;538.00
16;MAYO J. (PG);32;877:41:00;138;461.00
5;EATHERTON S. (C);29;865:24:00;11;656.00
71;KLEPEISZ T. (PG);34;853:00:00;32;422.00
53;COOKS X. (SF);34;849:34:00;-34;514.00
34;JONES L. (SG);31;829:55:00;-68;295.00
67;MOORE L. (SG);32;826:46:00;-115;382.00
45;JENKINS J. (SG);30;823:29:00;-268;305.00
104;DILEO A. (SG);34;821:19:00;38;362.00
65;ANDRIC M. (SF);33;820:33:00;-59;298.00
98;POLAS BARTOLO Y. (SF);34;818:45:00;72;326.00
112;WYSOCKI K. (SF);34;816:41:00;-56;392.00
136;BLECK F. (SF);33;815:27:00;-141;264.00
56;SIKMA L. (PF);33;813:23:00;326;585.00
125;LOCKHART D. (SG);33;812:25:00;-63;319.00
17;RUBIT A. (PF);34;811:55:00;70;572.00
70;ALLEN D. (PF);32;810:23:00;-158;361.00
44;WILLIS D. (SF);34;807:32:00;-103;450.00
96;BLAKE B. (SF);34;806:06:00;52;284.00
18;CLARK J. (PG);30;801:49:00;-80;374.00
88;AKPINAR I. (PG);34;797:58:00;59;303.00
141;RAHON J. (PG);34;797:00:00;99;319.00
33;GIEDRAITIS R. (SF);33;795:38:00;211;415.00
103;SCHWETHELM P. (SF);34;794:19:00;282;359.00
86;THOMAS A. (SF);32;785:15:00;-66;261.00
47;YOUNG J. (PG);31;763:59:00;129;354.00
28;RELEFORD T. (PG);26;761:58:00;-55;368.00
97;WILLIAMS P. (PG);34;759:10:00;-78;306.00
54;MILLER P. (PG);31;754:27:00;15;336.00
40;BOOTHE N. (PF);34;749:55:00;221;482.00
50;MASSENAT F. (PG);34;749:45:00;216;411.00
120;MCELROY I. (SF);33;746:56:00;-192;274.00
46;BENSON K. (C);34;745:47:00;-124;520.00
90;THOMPSON R. (SF);33;742:37:00;30;342.00
41;BARTHEL D. (PF);32;742:26:00;351;524.00
124;HUFF S. (SF);31;734:11:00;-114;241.00
36;DJEDOVIC N. (SG);32;728:39:00;281;455.00
128;ZISIS N. (PG);32;728:06:00;-13;292.00
157;DORETH B. (PG);34;720:30:00;-59;234.00
108;STOJANOVSKI V. (SG);34;719:09:00;143;271.00
119;HINES S. (PF);31;712:55:00;25;292.00
55;RUSSELL D. (PG);32;705:37:00;-63;347.00
69;DARDEN T. (SG);26;696:49:00;-122;349.00
91;BOWLIN S. (PG);28;693:57:00;1;275.00
82;HROVAT G. (SF);33;692:30:00;20;348.00
75;CARTER D. (PF);31;686:45:00;-87;390.00
31;HULLS J. (PG);28;686:33:00;36;379.00
74;LUCIC V. (SF);30;684:42:00;253;388.00
24;MARTIN K. (SF);27;680:28:00;-8;351.00
167;DILEO M. (SG);32;659:19:00;70;207.00
106;JACKSON D. (PF);33;657:12:00;-99;327.00
63;BREUNIG M. (PF);31;653:16:00;-17;379.00
4;KNIGHT M. (PG);20;637:34:00;-58;442.00
73;FARR J. (PF);28;632:46:00;-19;341.00
114;WALESKOWSKI A. (PF);34;631:55:00;-82;311.00
81;KLASSEN O. (PF);31;629:51:00;38;374.00
10;LARSON T. (PG);20;629:30:00;-31;330.00
117;CUFFEE M. (SF);27;622:40:00;-64;189.00
101;KERUSCH S. (SF);34;618:22:00;-139;298.00
42;WILLIAMS D. (PF);29;613:14:00;213;359.00
127;LO M. (PG);32;612:31:00;185;257.00
148;WOLF J. (PF);32;602:41:00;-80;273.00
102;SUBOTIC B. (PF);29;602:12:00;-47;264.00
76;GIFFEY N. (SF);31;598:56:00;128;325.00
92;OLASENI G. (C);27;598:29:00;-33;354.00
49;BELL D. (PG);25;573:53:00;-65;251.00
151;KOCH F. (SF);34;572:34:00;-15;232.00
99;KOPONEN P. (PG);31;572:18:00;128;233.00
100;LISCHKA B. (PF);27;569:08:00;-80;247.00
79;HARRIS E. (PF);30;564:31:00;28;353.00
183;WIMBERG J. (PF);31;560:05:00;-60;166.00
143;KRAMER D. (C);32;552:58:00;-15;219.00
113;SEIFERTH A. (C);32;541:51:00;-77;329.00
164;HECKMANN P. (SF);29;535:45:00;58;204.00
181;MöNNINGHOFF M. (SG);33;535:00:00;36;173.00
155;HERKENHOFF P. (SF);33;531:49:00;-36;222.00
201;TADDA K. (SG);29;531:20:00;105;155.00
85;ALEXANDER C. (PF);31;527:50:00;124;408.00
135;TAYLOR B. (SG);26;515:20:00;97;197.00
109;AGVA M. (C);34;512:48:00;-16;307.00
64;SIVA P. (PG);24;501:24:00;164;293.00
129;JORDAN J. (PG);19;500:37:00;-24;273.00
130;NEUMANN P. (C);32;498:06:00;-131;323.00
184;CHRISTEN R. (PF);34;496:35:00;-12;146.00
158;DANGUBIC N. (SF);27;494:57:00;88;199.00
51;HERMANNSSON M. (PG);21;484:53:00;169;237.00
118;FOTU I. (PF);25;483:32:00;-15;264.00
176;HERRERA S. (SG);33;479:54:00;-100;153.00
192;THEIS S. (PF);32;478:00:00;-216;109.00
122;BEST A. (SG);25;477:18:00;119;167.00
144;JOVIC S. (PG);27;476:35:00;194;264.00
105;GAY S. (SF);29;473:58:00;-102;298.00
185;HAUKOHL S. (PF);32;472:13:00;-93;134.00
123;WOHLFARTH-BOTTERMANN J. (C);25;470:55:00;-6;252.00
93;NNOKO L. (C);24;470:00:00;75;330.00
27;JACKSON C. (C);22;463:48:00;55;344.00
195;LOESING B. (PG);34;463:42:00;-21;124.00
182;STUCKEY M. (SG);32;463:03:00;31;132.00
138;BREMBLY D. (SF);32;460:32:00;-12;202.00
68;LAWSON III J. (PF);23;456:02:00;-92;265.00
132;MAZEIKA M. (SG);25;450:25:00;-154;133.00
110;THIEMANN J. (PF);31;444:38:00;137;299.00
121;KESSENS M. (C);25;439:22:00;44;237.00
131;BIRCEVIC S. (PF);23;438:55:00;-76;180.00
154;JALLOW K. (SG);25;436:13:00;-27;158.00
107;HANLAN O. (SG);24;430:35:00;-172;155.00
58;HICKMAN R. (SG);21;428:56:00;70;242.00
149;HOBBS B. (PG);31;428:31:00;124;254.00
147;RADOSEVIC L. (C);28;428:15:00;104;197.00
140;RADOSAVLJEVIC B. (C);30;425:43:00;47;225.00
80;NASH T. (PF);18;419:54:00;142;234.00
190;CHAMBERS S. (PG);29;417:44:00;-80;125.00
12;JAMES R. (SG);15;413:35:00;-32;165.00
133;KLEIN K. (PG);20;412:03:00;-22;129.00
126;SAIBOU J. (PG);26;408:52:00;123;178.00
169;KRäMER D. (SG);32;406:45:00;-2;121.00
170;RAIVIO N. (SG);30;405:25:00;2;198.00
177;SCHNEIDER T. (PF);32;404:05:00;120;178.00
189;VARGAS A. (SG);24;403:38:00;-50;92.00
179;BREITLAUCH A. (SG);33;403:34:00;-40;150.00
137;PETER-MCNEILLY A. (SG);20;403:09:00;-53;111.00
165;BRASE H. (PF);23;402:35:00;-51;158.00
84;STOCKTON D. (PG);20;401:45:00;14;212.00
87;KRATZER L. (C);21;401:21:00;-29;280.00
23;MARTIN H. (PF);18;400:31:00;58;317.00
52;OLIVER D. (PF);16;399:46:00;14;201.00
207;MEISNER L. (SF);33;397:22:00;-93;114.00
208;SCHMIDT D. (PG);33;392:27:00;93;119.00
9;WILLIAMS R. (SF);14;387:33:00;-76;226.00
111;PENO S. (PG);16;382:29:00;110;186.00
194;OLINDE L. (SF);27;376:23:00;9;149.00
198;KING A. (SF);31;370:43:00;60;124.00
172;LINHART N. (SF);18;365:26:00;25;119.00
173;WAGNER F. (SF);29;357:43:00;72;144.00
153;FREUDENBERG R. (SF);22;353:20:00;-26;113.00
214;REYES-NAPOLES E. (PG);33;352:41:00;-70;74.00
161;TURUDIC B. (PF);27;349:22:00;-60;194.00
57;WARREN A. (SG);13;347:06:00;1;140.00
200;UGRAI M. (PF);29;344:34:00;-14;104.00
175;CARTER C. (SG);28;341:48:00;-19;125.00
116;MORRISON M. (C);19;333:21:00;43;183.00
178;MACKELDANZ O. (C);25;333:11:00;-117;172.00
19;ROBERTS R. (PF);15;330:14:00;-111;251.00
160;RICHTER J. (PF);27;327:10:00;3;171.00
168;GüNTHER P. (PG);25;326:18:00;5;114.00
152;MOTEN D. (PF);16;324:33:00;-43;104.00
145;REINHARDT K. (SG);24;320:10:00;-35;102.00
77;MARELJA A. (C);18;318:51:00;-68;199.00
230;GRüTTNER BACOUL J. (SG);31;318:31:00;-38;65.00
43;MIKA E. (C);15;310:34:00;-35;225.00
83;WALTON JR. D. (PG);15;309:01:00;51;183.00
186;OGBE K. (SG);25;300:16:00;107;84.00
72;BOOKER D. (C);16;298:22:00;107;197.00
134;ANDERSON K. (PG);15;295:33:00;-8;133.00
203;FERNER J. (SF);30;294:59:00;-101;73.00
206;REISCHEL J. (SF);31;292:44:00;-69;101.00
215;SCHILLING G. (PF);29;289:18:00;-56;121.00
156;HOLDER T. (PG);20;279:09:00;-32;88.00
191;CANTY A. (PG);32;276:00:00;-27;118.00
216;HOFFMANN F. (SF);27;262:50:00;-1;88.00
205;ZEEB G. (PG);26;262:08:00;18;63.00
39;MOORE A. (SF);9;261:09:00;1;85.00
229;MCCRAY D. (PG);25;248:23:00;-11;52.00
115;SUMMERS D. (SG);13;245:01:00;-99;73.00
209;LAGERPUSCH L. (C);32;240:27:00;-17;107.00
146;KULBOKA A. (SG);17;239:53:00;42;85.00
142;ARNOLD R. ();9;238:10:00;-77;29.00
193;CLIFFORD D. (C);24;232:36:00;56;129.00
174;SABECKIS D. (PG);15;224:38:00;75;100.00
210;KRAUSHAAR B. (PG);18;219:02:00;-19;61.00
171;KIEL N. (PF);11;218:07:00;-14;78.00
162;KONE B. (PG);18;215:17:00;-15;70.00
187;AMAIZE R. (SG);20;212:10:00;38;89.00
196;VöLLER M. (PF);19;208:31:00;-23;82.00
139;THOMPSON H. (SF);9;203:01:00;-84;69.00
166;PJANIC A. (SF);15;196:50:00;3;90.00
30;HILL M. (SF);7;191:38:00;1;101.00
226;OGUNSIPE M. (SF);25;186:20:00;-28;57.00
236;VON FINTEL C. (SG);27;184:39:00;-43;35.00
159;OBIESIE J. (PG);12;180:00:00;-45;64.00
234;NAWROCKI D. (SG);28;174:57:00;-59;24.00
197;MATTISSECK J. (PG);13;172:29:00;37;43.00
25;CHAPMAN C. (C);10;148:58:00;25;137.00
232;HUJIC H. (PG);21;133:04:00;-15;25.00
227;KEßEN M. (C);25;127:17:00;30;52.00
89;CHAPMAN C. (C);8;125:42:00;38;85.00
242;BACAK M. (C);19;104:48:00;-24;27.00
213;ZYLKA F. (SG);17;104:29:00;-86;25.00
94;JAMES R. (SG);5;100:04:00;14;40.00
180;LONCAR K. (C);10;99:44:00;6;26.00
228;EMANGA NOUPOUE Q. (SG);10;94:00:00;-11;22.00
247;HEBER J. (PG);17;83:41:00;-91;11.00
224;MARIN M. (SG);12;80:00:00;-23;14.00
199;CLARANCE E. (SG);9;76:33:00;-53;14.00
225;WACHALSKI S. (PF);10;74:08:00;-18;15.00
248;VAN SLOOTEN L. (SF);14;67:00:00;-15;4.00
243;FIGGE L. (SG);19;66:41:00;11;11.00
95;CHAPMAN C. (C);6;64:56:00;12;56.00
217;ALBUS J. (SG);5;63:47:00;-18;16.00
202;JASINSKI J. (PF);7;63:23:00;-1;13.00
238;KOVACEVIC D. (PF);16;54:03:00;0;31.00
241;JOSTMANN M. (PF);4;33:24:00;-29;0.00
231;DRIJENCIC R. (PG);5;32:40:00;-10;0.00
237;LARYSZ L. (PG);6;31:02:00;9;4.00
163;PAPE T. (PF);3;29:22:00;11;17.00
211;HUKPORTI A. (PF);4;26:36:00;-1;20.00
219;WEIDEMANN N. (PG);3;25:17:00;7;4.00
220;DRELL H. (SG);3;24:18:00;-9;4.00
188;HUNDT B. (PG);2;22:55;-9;3.00
150;SEARS J. (PF);2;22:24;-7;13.00
239;FISCHER F. (C);5;21:21;-25;3.00
235;ISEMANN T. (C);5;18:43;-28;9.00
246;UHLEMANN T. (PF);5;17:37;-15;0.00
252;STOLL M. (PG);3;14:40;2;-1.00
240;KRATZER L. (C);4;14:17;-12;5.00
245;OKPARA L. (SG);3;13:43;-2;4.00
221;RADOSAVLJEVIC B. (C);3;13:18;-15;5.00
212;STANKEVICIUS E. (SG);2;13:12;-9;0.00
265;HOLLATZ J. (PG);2;11:33;0;0.00
263;BOJANG M. (PG);5;10:08;7;4.00
223;TRTOVAC A. (C);1;08:30;4;4.00
251;HADENFELDT P. (PG);3;08:28;-14;-3.00
204;RADOJICIC V. (PG);1;06:50;-4;3.00
218;FALKENSTEIN D. (PG);1;06:36;-10;2.00
233;PHILIPPS C. (SF);3;06:06;3;4.00
264;ALBRECHT J. (PF);3;05:25;-4;-1.00
249;BUCK B. (PG);2;04:47;2;-2.00
259;KRUG J. (C);5;04:42;-11;0.00
255;GILLE F. (PF);3;03:33;8;0.00
244;URBANSKY S. (C);3;02:55;-8;1.00
258;BRETZEL N. (C);2;01:59;-11;-1.00
253;INSINGER T. (PF);2;01:39;0;0.00
260;MOSER B. (PF);1;01:34;-4;0.00
250;MANGOLD A. (PG);1;01:17;-5;-1.00
262;BUHL M. (PF);1;01:01;1;0.00
266;NIEDERMANNER J. (SF);1;00:57;2;0.00
257;WENZL N. (PG);1;00:40;-3;-1.00
261;MöLLER A. (C);1;00:37;0;0.00
256;KAYSER A. (C);1;00:24;-2;0.00
222;HOPP A. (SG);1;00:23;-5;1.00
254;PATRICK J. (PG);1;00:02;-1;0.00
